id,faithfulness_score,answer_relevancy_score,binary_faithfulness,binary_relevancy
140420,0.250470221042633,0.7799814343452454,0,0
237864,0.3460043668746948,0.9327869415283204,1,1
181753,0.2774302363395691,0.7871435880661011,1,1
252219,0.2563943266868591,0.8775087594985962,1,1
108440,0.2765796184539795,0.7453637719154358,1,1
224337,0.3163958787918091,0.9446223974227904,1,0
499109,0.2811114192008972,0.9050020575523376,1,0
28285,0.2850048542022705,0.8905344009399414,1,1
454750,0.3269371092319488,0.7652052044868469,1,1
412240,0.3311402499675751,0.7458814382553101,1,1
441286,0.2786958515644073,0.8752322196960449,0,0
568213,0.2520810663700104,0.6487773656845093,1,1
414034,0.2903555333614349,0.4786436259746551,0,0
459634,0.2443708777427673,0.7060378789901733,1,1
66635,0.2875168323516845,0.6656861901283264,1,1
343706,0.4053789973258972,0.952529788017273,1,1
357238,0.2747308611869812,0.7003954648971558,1,1
553664,0.2735916376113891,0.9418812394142152,1,1
258388,0.3104313015937805,0.8310000896453857,1,1
222094,0.3352178335189819,0.7086901068687439,1,0
281179,0.2535472214221954,0.804523766040802,1,1
260106,0.2828784584999084,0.9742788076400756,1,1
162543,0.3426721096038818,0.8709893822669983,0,1
366199,0.3107280135154724,0.7420293092727661,1,1
329323,0.2282970994710922,0.965853989124298,1,1
157601,0.290795236825943,0.862220048904419,1,0
447314,0.219646006822586,0.9245098829269408,0,0
489764,0.2946507930755615,0.6303970813751221,0,1
1818,0.3243715763092041,0.7300388813018799,0,0
368982,0.2682271599769592,0.6992871761322021,0,0
550349,0.3396851718425751,0.799081563949585,1,0
112110,0.2657800316810608,0.9203124046325684,1,1
532129,0.3117004632949829,0.9322054982185364,1,1
220732,0.2687681317329407,0.6920003890991211,0,0
275749,0.361578106880188,0.909275770187378,1,1
176778,0.2426093220710754,0.8463969826698303,0,0
407083,0.2346464246511459,0.8392661213874817,1,1
215723,0.3459930419921875,0.8985732197761536,1,1
509719,0.3021409511566162,0.9473186135292052,1,0
3845,0.3425736427307129,0.4474928975105285,1,1
2153,0.3282270431518554,0.6151671409606934,1,1
541773,0.3175427615642547,0.6584454774856567,1,1
161128,0.3250555992126465,0.9951391220092772,0,1
186938,0.3540865480899811,1.0,0,1
33759,0.2495323419570922,0.6960257887840271,1,1
309678,0.271248996257782,0.7390472888946533,1,0
29397,0.2171606123447418,0.9999999403953552,1,0
61471,0.2860774099826813,0.9889434576034546,0,1
7888,0.298447847366333,0.7722827196121216,1,1
161642,0.2807086706161499,0.8643132448196411,1,1
127517,0.2745693325996399,0.9547233581542968,1,0
217614,0.3591993749141693,0.8078388571739197,1,0
137950,0.2954594790935516,0.8720750212669373,0,0
186345,0.2749871611595154,0.8207291960716248,0,0
573258,0.1888933777809143,0.7499958276748657,1,1
400082,0.2297167479991912,0.6930825114250183,1,1
537241,0.2962659299373626,0.9531283974647522,0,0
103723,0.2477045208215713,0.7595022916793823,1,1
350122,0.284111887216568,0.9812358617782592,0,0
293474,0.350278228521347,0.9842321276664734,0,1
