id,em,sm,f1,faithfulness_score,answer_relevancy_score,binary_faithfulness,binary_relevancy
293832,1,1,1.0,0.2932039499282837,0.8999767303466797,0,0
129592,1,1,1.0,0.3807867765426636,0.7478483319282532,1,1
13729,1,1,1.0,0.2088657319545745,0.6250548362731934,1,1
379086,1,1,1.0,0.200962945818901,0.5213160514831543,1,1
96618,1,1,1.0,0.2946164011955261,0.7399156093597412,0,0
28682,1,1,1.0,0.2470705807209015,0.5457669496536255,1,1
137727,1,1,1.0,0.312828004360199,0.72086101770401,1,1
381842,1,1,1.0,0.3093447685241699,0.6568434834480286,1,1
449522,1,1,1.0,0.2625564336776733,0.7746933102607727,1,1
304186,1,1,1.0,0.2845143675804138,0.8396364450454712,1,1
458467,1,1,1.0,0.2177371978759765,0.7035596370697021,1,1
503978,1,1,1.0,0.2756535410881042,0.6653103828430176,1,1
121849,1,1,1.0,0.3072000741958618,0.9224339723587036,1,1
499281,0,0,0.5,0.3007268607616424,0.5408049821853638,1,1
155897,1,1,1.0,0.2480055391788482,0.5141414403915405,1,0
180739,0,0,0.0,0.2460543811321258,0.7746565937995911,1,1
57760,1,1,1.0,0.216072142124176,0.5524814128875732,1,1
422383,1,1,1.0,0.1862120032310485,0.6201252937316895,1,1
425898,0,0,0.0,0.2523343563079834,0.5707027316093445,0,0
74037,1,1,1.0,0.2554732263088226,0.5214418172836304,1,1
342100,1,1,1.0,0.3046244978904724,0.4017758965492248,1,1
404462,1,1,1.0,0.2348521798849105,0.5349938273429871,1,1
131152,1,1,1.0,0.2222393006086349,0.8007566928863525,1,1
363241,1,1,1.0,0.2349275201559066,0.4813683629035949,0,0
436865,1,1,1.0,0.2453289180994033,0.5472395420074463,1,1
438269,1,1,1.0,0.2496925890445709,0.756862223148346,1,1
180521,1,1,1.0,0.2176797538995742,0.7107048034667969,1,1
228344,1,1,1.0,0.2107322067022323,0.8678743839263916,1,1
341678,1,1,1.0,0.2536469399929046,0.7746677994728088,1,1
525369,1,1,1.0,0.2086628377437591,0.5769217014312744,1,1
207611,1,1,1.0,0.2175841778516769,0.4421170651912689,0,0
299970,1,1,1.0,0.276425838470459,0.7668418884277344,0,0
236925,0,0,0.0,0.2375095337629318,0.6575756072998047,1,1
341309,1,1,1.0,0.1722646951675415,0.5419366955757141,0,0
437117,1,1,1.0,0.2170877754688263,0.731689989566803,1,1
212739,1,1,1.0,0.2360215187072754,0.55329829454422,1,1
83736,1,1,1.0,0.2767418026924133,0.751125156879425,1,1
512869,1,1,1.0,0.2303436696529388,0.753462553024292,1,1
168583,1,1,1.0,0.234394758939743,0.7885083556175232,0,0
451308,1,1,1.0,0.3230149745941162,0.5460407733917236,1,1
432234,1,1,1.0,0.279977798461914,0.7921932935714722,1,1
485909,1,1,1.0,0.1789128482341766,0.6220771074295044,0,0
556758,1,1,1.0,0.2712239027023315,0.8753153085708618,1,1
274272,1,1,1.0,0.3486097455024719,0.6288581490516663,1,1
408039,1,1,1.0,0.2461462318897247,0.5129867196083069,1,1
90640,1,1,1.0,0.2300885915756225,0.6100092530250549,1,1
388770,1,1,1.0,0.244327887892723,0.5339972376823425,1,1
48739,1,1,1.0,0.2262808084487915,0.7929104566574097,1,1
287570,1,1,1.0,0.2935330867767334,0.9389684200286864,1,1
75426,1,1,1.0,0.1692193746566772,0.5034175515174866,1,1
533311,1,1,1.0,0.2396627217531204,0.6666467785835266,1,1
203372,0,1,0.5,0.2139416337013244,0.6667889952659607,0,0
172979,1,1,1.0,0.2160848528146743,0.4405515193939209,1,1
90284,1,1,1.0,0.2102494239807129,0.6760920286178589,1,1
547630,0,1,0.6666666666666666,0.1908955127000808,0.6361505389213562,1,1
77924,0,0,0.0,0.3099091649055481,0.8669782280921936,0,0
529528,0,0,0.0,0.3035775423049927,0.7253979444503784,1,1
80053,1,1,1.0,0.1930603086948394,0.5699905753135681,0,1
550529,1,1,1.0,0.2641078531742096,0.8892514109611511,1,1
123017,1,1,1.0,0.2196068316698074,0.4368095695972442,1,1
