id,faithfulness_score,answer_relevancy_score,binary_faithfulness,binary_relevancy
140420,0.2334347367286682,0.6577233672142029,1,1
237864,0.3111631572246551,0.8992851972579956,0,0
181753,0.3059715628623962,0.6041166186332703,1,1
252219,0.2488923519849777,0.6646508574485779,1,1
108440,0.2592644691467285,0.7643339037895203,0,0
224337,0.3127506971359253,0.6283580660820007,1,0
499109,0.2917712032794952,0.8625025749206543,1,1
28285,0.2781509160995483,0.7349755764007568,0,1
454750,0.3095109760761261,0.5892236232757568,0,0
412240,0.320053368806839,0.8218108415603638,1,1
441286,0.2786958515644073,0.6884615421295166,1,1
568213,0.2520810663700104,0.4869142472743988,1,1
414034,0.2899273931980133,0.8960376977920532,0,0
459634,0.2339718639850616,0.6956879496574402,1,1
66635,0.2722765803337097,0.7286715507507324,1,1
343706,0.3842344284057617,0.939157485961914,1,1
357238,0.2693179845809936,0.7003954648971558,1,1
553664,0.2823641896247864,0.4124000966548919,0,0
258388,0.3171940445899963,0.6450839638710022,1,1
222094,0.329965740442276,0.6908954977989197,1,1
281179,0.2577898502349853,0.4473800659179687,0,0
260106,0.2814440131187439,0.7002237439155579,1,1
162543,0.3466203808784485,0.4645021855831146,0,0
366199,0.3015875518321991,0.8726356029510498,1,0
329323,0.2212147414684295,0.6413135528564453,1,1
157601,0.2976698875427246,0.5726466178894043,1,1
447314,0.219646006822586,0.556205153465271,0,0
489764,0.2338399142026901,0.8250242471694946,1,1
1818,0.3284321427345276,0.6498232483863831,1,1
368982,0.2653806209564209,0.6113193035125732,1,1
550349,0.3396851718425751,0.83115154504776,1,1
112110,0.2370807081460952,0.659813642501831,1,1
532129,0.3117004632949829,0.907242476940155,1,1
220732,0.2685675024986267,0.7036565542221069,0,0
275749,0.3282868564128876,0.7958385944366455,0,0
176778,0.2506439089775085,0.8463969826698303,1,1
407083,0.2346464246511459,0.8258630633354187,1,1
215723,0.3487347364425659,0.4981669485569,1,1
509719,0.3154389262199402,0.7608240842819214,0,0
3845,0.3111019730567932,0.943179726600647,1,1
2153,0.1837709546089172,0.5723922848701477,0,0
541773,0.3023103475570678,0.6938448548316956,1,1
161128,0.3080011010169983,0.681706428527832,0,0
186938,0.2729997038841247,0.7875495553016663,0,0
33759,0.273183524608612,0.6922519207000732,1,1
309678,0.271248996257782,0.6752730011940002,1,1
29397,0.2211872935295105,0.5475415587425232,0,0
61471,0.2767950296401977,0.6629607677459717,0,0
7888,0.2569764852523803,0.3532679080963135,0,0
161642,0.2903363108634949,0.5413652658462524,0,0
127517,0.2719841599464416,0.7822372317314148,0,0
217614,0.3495604693889618,0.8078388571739197,1,1
137950,0.2748128175735473,0.5972590446472168,1,1
186345,0.2749871611595154,0.4703937172889709,0,0
573258,0.1888933777809143,0.6963306665420532,1,1
400082,0.2297167479991912,0.5975850820541382,1,1
537241,0.3171989619731903,0.7738077640533447,0,0
103723,0.2985877990722656,0.9726950526237488,0,0
350122,0.1876018047332763,0.4996949732303619,0,0
293474,0.3694614171981811,0.6318974494934082,0,1
