id,faithfulness_score,answer_relevancy_score
140420,0.25047022104263306,0.7799814343452454
237864,0.3460043668746948,0.9327869415283203
181753,0.2774302363395691,0.7871435880661011
252219,0.25639432668685913,0.8775087594985962
108440,0.2765796184539795,0.7453637719154358
224337,0.3163958787918091,0.9446223974227905
499109,0.2811114192008972,0.9050020575523376
28285,0.2850048542022705,0.8905344009399414
454750,0.32693710923194885,0.7652052044868469
412240,0.3311402499675751,0.7458814382553101
441286,0.27869585156440735,0.8752322196960449
568213,0.2520810663700104,0.6487773656845093
414034,0.29035553336143494,0.47864362597465515
459634,0.24437087774276733,0.7060378789901733
66635,0.28751683235168457,0.6656861901283264
343706,0.4053789973258972,0.952529788017273
357238,0.2747308611869812,0.7003954648971558
553664,0.27359163761138916,0.9418812394142151
258388,0.3104313015937805,0.8310000896453857
222094,0.33521783351898193,0.7086901068687439
281179,0.25354722142219543,0.804523766040802
260106,0.28287845849990845,0.9742788076400757
162543,0.34267210960388184,0.8709893822669983
366199,0.3107280135154724,0.7420293092727661
329323,0.22829709947109222,0.9658539891242981
157601,0.290795236825943,0.862220048904419
447314,0.21964600682258606,0.9245098829269409
489764,0.2946507930755615,0.6303970813751221
1818,0.3243715763092041,0.7300388813018799
368982,0.26822715997695923,0.6992871761322021
550349,0.3396851718425751,0.799081563949585
112110,0.2657800316810608,0.9203124046325684
532129,0.3117004632949829,0.9322054982185364
220732,0.2687681317329407,0.6920003890991211
275749,0.361578106880188,0.9092757701873779
176778,0.24260932207107544,0.8463969826698303
407083,0.23464642465114594,0.8392661213874817
215723,0.3459930419921875,0.8985732197761536
509719,0.3021409511566162,0.9473186135292053
3845,0.3425736427307129,0.44749289751052856
2153,0.32822704315185547,0.6151671409606934
541773,0.31754276156425476,0.6584454774856567
161128,0.3250555992126465,0.9951391220092773
186938,0.3540865480899811,1.0
33759,0.24953234195709229,0.6960257887840271
309678,0.271248996257782,0.7390472888946533
29397,0.21716061234474182,0.9999999403953552
61471,0.2860774099826813,0.9889434576034546
7888,0.298447847366333,0.7722827196121216
161642,0.2807086706161499,0.8643132448196411
127517,0.2745693325996399,0.9547233581542969
217614,0.3591993749141693,0.8078388571739197
137950,0.29545947909355164,0.8720750212669373
186345,0.2749871611595154,0.8207291960716248
573258,0.1888933777809143,0.7499958276748657
400082,0.22971674799919128,0.6930825114250183
537241,0.29626592993736267,0.9531283974647522
103723,0.24770452082157135,0.7595022916793823
350122,0.284111887216568,0.9812358617782593
293474,0.35027822852134705,0.9842321276664734
